person_age,person_gender,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_VENTURE,log_person_income,log_loan_amnt,whole_loan_percent_income,loan_credit,interest_burden,employment_experience_ratio,interest_per_credit_score,default_interest_interaction,high_loan_burden,high_interest_rate,annual_interest_amount,young_applicant,low_income_applicant,high_income_applicant,short_credit_history,loan_status
22.0,0,71948.0,0,35000.0,16.02,0.49,3.0,561,0,0,0,0,1,0,0,0,0,0,0,0,0,11.183712813678275,10.463131911491967,0.08279590815589037,46.4485044754545,7.849799999999999,0.0,0.02855614968171809,0.0,1,1,5607.0,1,0,0,0,1
21.0,0,12282.0,0,1000.0,11.14,0.08,2.0,504,1,0,0,0,0,0,0,1,0,1,0,0,0,9.415971471539095,6.90875477931522,0.009884383650871194,4.981729360039082,0.8912000000000001,0.0,0.022103174559319098,11.14,0,0,111.4,1,1,0,1,0
25.0,0,12438.0,3,5500.0,12.87,0.44,3.0,635,0,0,0,0,0,1,0,0,0,0,0,1,0,9.428591977209965,8.612685172875459,0.061332207750442194,38.94595192153079,5.6628,0.42857142857142855,0.020267716503515405,0.0,1,0,707.85,0,1,0,0,1
23.0,0,79753.0,0,35000.0,15.23,0.44,2.0,675,0,0,1,0,0,0,0,0,0,0,0,1,0,11.286702176129095,10.463131911491967,0.07122616077138164,48.077658520682604,6.7012,0.0,0.022562962929536353,0.0,1,1,5330.5,1,0,0,1,1
24.0,1,66135.0,1,35000.0,14.27,0.53,4.0,586,0,0,0,0,1,0,0,0,0,0,0,1,0,11.099468506932512,10.463131911491967,0.08081197550464958,47.355817645724656,7.5631,0.16666666666666666,0.024351535794621952,0.0,1,1,4994.5,1,0,0,0,1
21.0,0,12951.0,0,2500.0,7.14,0.19,2.0,532,0,0,0,0,0,0,0,1,0,0,0,0,1,9.469005495357472,7.824445930877619,0.01571307234962551,8.359354490000772,1.3566,0.0,0.013421052606351404,0.0,0,0,178.5,1,1,0,1,1
26.0,0,93471.0,1,35000.0,12.42,0.37,3.0,701,0,0,1,0,0,0,0,0,0,1,0,0,0,11.445417205187468,10.463131911491967,0.0502508799520707,35.22586684640156,4.5954,0.125,0.017717546337064842,0.0,1,0,4347.0,0,0,0,0,1
24.0,0,95550.0,5,35000.0,11.11,0.37,4.0,585,0,0,0,0,0,0,0,0,0,0,0,1,0,11.467415415338404,10.463131911491967,0.04435897435897436,25.95,4.1107,0.8333333333333334,0.018991452958988967,0.0,1,0,3888.5,1,0,0,0,1
24.0,0,100684.0,3,35000.0,8.9,0.35,2.0,544,0,1,0,0,0,0,0,0,0,0,0,0,0,11.519752110312506,10.463131911491967,0.03441460410790195,18.721544634698663,3.1149999999999998,0.5,0.016360294087572988,0.0,1,0,3115.0,1,0,1,1,1
21.0,0,12739.0,0,1600.0,14.74,0.13,3.0,640,0,0,0,0,0,0,0,1,0,0,0,0,1,9.452501929126154,7.3783837129967145,0.01976921265405448,12.652296098594867,1.9162000000000001,0.0,0.02303124996401367,0.0,1,1,235.84,1,1,0,0,1
22.0,0,102985.0,0,35000.0,10.37,0.34,4.0,621,0,0,0,0,0,0,0,0,0,0,0,0,1,11.542348335643398,10.463131911491967,0.03864154974025343,23.99640238869738,3.5258,0.0,0.016698872758939012,0.0,1,0,3629.5,1,0,1,0,1
21.0,0,13113.0,0,4500.0,8.63,0.34,2.0,651,0,1,0,0,0,0,0,1,0,0,1,0,0,9.481435640823564,8.412054873292933,0.03304735758407687,21.51382978723404,2.9342000000000006,0.0,0.01325652839745541,0.0,1,0,388.35,1,1,0,1,1
23.0,1,114860.0,3,35000.0,7.9,0.3,2.0,573,0,0,1,0,0,0,0,0,0,0,0,0,1,11.651477980631476,10.463131911491967,0.027119972139996517,15.539744036218003,2.37,0.6,0.013787085490772975,0.0,1,0,2765.0,1,0,1,1,1
26.0,1,130713.0,0,35000.0,18.39,0.27,4.0,708,0,0,0,0,1,0,0,0,0,1,0,0,0,11.780767009407606,10.463131911491967,0.05191908991454561,36.75871565949829,4.9653,0.0,0.025974576234499187,0.0,1,1,6436.5,0,0,1,0,1
23.0,0,138998.0,0,35000.0,7.9,0.25,4.0,583,0,1,0,0,0,0,0,0,0,1,0,0,0,11.842222017842346,10.463131911491967,0.022410394394163945,13.06525993179758,1.975,0.0,0.013550600319810292,0.0,1,0,2765.0,1,0,1,0,0
23.0,0,600891.0,5,30000.0,10.65,0.05,3.0,670,1,0,0,0,1,1,0,0,1,0,0,0,0,13.306170496870108,10.308985993422082,0.005816362701388438,3.8969630099302535,0.5325000000000001,1.0,0.015895522364335044,10.65,0,0,3195.0,1,0,1,0,0
23.0,1,144943.0,0,35000.0,7.9,0.24,4.0,663,0,0,1,0,0,0,0,0,0,1,0,0,0,11.88410273990907,10.463131911491967,0.021491206888225027,14.248670166893193,1.896,0.0,0.011915535426975061,0.0,1,0,2765.0,1,0,1,0,0
23.0,0,111369.0,0,35000.0,20.0,0.31,4.0,694,0,0,0,0,0,0,0,0,0,0,0,1,0,11.620613270387146,10.463131911491967,0.06599682137758263,45.801794036042345,6.2,0.0,0.028818443762509447,0.0,1,1,7000.0,1,0,1,0,1
